3주정도 이용중인데 그대로입니다 그냥 마트 트리트먼트보다 못한 느낌이에요 별로입니다	디자인은 화면과 같아요 다만 배송문제인지 모서리가 깨져있어요. 찍힘도있고ㅜ 새 제품인데 까지고 찍혀서 기분은별로네요 다시교환한다고 깨끗한제품이 올지 그것도 의문이라 그냥 싼맛으로 씁니다	5
고속충전이 안됨ㅠㅠ	집에매연냄새없앨려했는데 그냥창문여는게더 공기가좋네요	5
다 비치고 잡아주는 느낌 없어요. 레깅스라기보다 스타킹.. 원피스에나 입지 티에는 못 입어요~	3cm는 농구화같은신발 아니면 안들어갈거같네요	5
어디 나가지도 못해서 방에 매트에 깔고 3일째 되던 날 구멍이 생겪더군요	급해서 배송 도착 일자 보고시켰는데 3일도 늦게와서 여행에 못가져갔어요 ㅜㅜ	5
한달 사용만에 손잡이가 파손되었어요 문자로 파손 손잡이 사진 보내드렸는데 이렇다 저렇다 답변이 없네요.	와 토욜날시켰는데 목욜날 7시에왔어요....진짜 반품하려다가 ㅜ ㅠ	5
아라가라사하마나타그저그래여	제가 여러군데 홍가리비시켜봤는데 여기 홍가립는 욕이나올정도로 별로였습니다. 2kg를 시켰는데 알맹이가 15개도 안나왔습니다. 이게말이나 됩니까? 시켜드시지마세요ㅜㅜ 다른곳찾으세요. 진짜 개별로	5
재구매 넘 얕아요, 가격만 오르고 종이 짝이네요	메인 사진이랑 상품명 바꿔주심 좋겠네요. 상품명에 유기농이라고 되어있어서 사이즈 보고 중형인 옵션 골랐는데 알고 보니 다른 제품이네요...	5
만족도 1점을 주셨네요. 어떤 점이 아쉬웠나요? 1점을 줘야 하는게 아쉽네요	냉동 망고랑 블루베리를 시켰는데 망고즙이랑 블루베리즙이왔네요;;;;	5
넉넉한데 냄새가 너무나요	외장하드에 문제가 있는것도 아닌데 연결했을때 불은 들어오는데 가동이 안되사요... 케이블선입구도 뻑뻑하구여 뭐가 문제인지 잘 모르겠네요..	5
가격대비 너무 싼티나요.... 이정도엿다면 그냥 집에서 만들걸 그랫어요...	불도 안들어오고 수량도 틀리게 오고 대응도 엉망입니다	5
한 3~4일 써보니까 갑자기 접착제 같은게 나와서 등짝이 끈적거림 이거 사지마세요	붙이기도 전에 살짝 비닐테잎 띨려다가 다 깨짐	5
별로에요 불빛은 이상없는데 잘 못나네요	허리 지지대가 차라리 없었으면 나았을듯	5
절대 구입하지 마세요.	재구매 사은품준다더니 안주네	5
잘못삼 저렴한거 사려다 망함	그냥 그냥 모 좋아지는건지도 뮤르겠고	5
피부에 뾰루지가 많이 올라와요	딱보면 별루이고 자세히보면 완전 허접해보임 불안불안	5
그릇 디자인예쁘고 마음에 들어요 컵은 별로 필요없었지만 파스타 그릇 함께 구매하려고 산거였는데 이렇게 왔네요 참 사람이 먹는 건데 판매자분께서는 이런 컵에 물담아 드시는지..	맛이 별로인것같네요 키위드레싱은 무슨 양념이 치약짜듯나오고 맛이 이삭이랑 전혀달라요..	5
원래 장아찌 냄새가 나는거에요??	너무너무 작네요ㅋㅋ너무 얇고 약국에서 사서 쓰던거 보다 작아요	5
그냥요 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥	아직 상품을 받지못했는대 구매확정이 되었내요 택배가 분실이된건지 12월20일 도착예정이라고 연락왔었는대 도착은 안했어요	5
제품도 하자 배송도 하자 하자투성 볼때마다 짜증 이빠이	예뻐구 편하다고해서 삿는데 최대로 쪼여두 뒤꿈치가 자꾸 내려가서 못신겟어여..실패한듯 ㅜㅜ	5
냄새가 심하게 나요 별로입니다	강추하지안씁니다 넘저렴한거구매하지마세요	5
재구매 배송은빨리왔는데,정말사지마세요!설치하려고 ,구멍에 끼워넣는데 똑 똑 하고 막대기끼는구멍있는곳이 부러져버리네요!성질나서 다버렸습니다!정말 사지마세요!아승질나	자운고를 사고 팜플렛에 지루성피부염에 좋다고 나와서 구매함 지금 지루성피부염땜에 각질,붉은기가 심해서 발라봤는데 효과는 잘 발라도 각질은 여전함	5
배송 거의 20일 이상 기다리고 업체는 본사 탓만 돌리기. 본인들 해줄게 없으니 취소 권유.. 상품은 괜찮으나 업체 응대 0점입니다	주문하고 이틀만에 배송 받았는데 책 표지 필름이 들려서 왔네요 어차피 분철할거라 크게 상관은 없지만 신경써달라는 의미에서 리뷰 남깁니다 책 엄청 두꺼워요 ㅋㅋㅋ 분철 필수입니다 품질경영기사 준비하시는 분들 화이팅 하세요	5
전혀 효과없음 방법이 틀렸는지 저는 효과를 못봤어요	재구매 제품동일 가격차이 문의하니 md마다 프로모션이 다르니 알아서 싼거사라함	5
반품배송비18900원ㅋㅋㅋ반품원천차단ㅋㅋㅋ 장사개웃기게함	빨리 어떻게든 해주세요 다만들고나니 부피는크고 짐은 못두고 집이 엉망이네요 팔면안되는걸 파신거같아요 불량이 하나도아니고ㅜㅠ	5
밀크티라떼를 주문했는데 바닐라라떼가 왔어요 교환 귀찮아서 그냥 먹어요 담엔 제대로 배송 부탁드려요	음 ㅠㅠ 가격대비 솔직히 불만족합니다..뻑뻑하고 엄청 싸구리티나유 ㅠㅠㅠ	5
재구매 계속 구매했었는데 수량도 팍 줄고 중으로 시켰는데 수컷성체 및 암컷들이 너무 많이 딸려오네요...	바퀴에서 쇳소리가 나요 소음이 넘 심해요	5
제대로 안굽히거나 상한게 있어서 바로 냉장고에 보관했는데도 제법 많이 못 먹고 버렸네요 ㅠ 대량구매 특히 단기간 소진 아니면 개인적으로는 비추입니다...	떨어지자마자 깨져서 ㅠㅠ 손에 유리박히고 ㅠ ㅠ	5
윽... 구웠는데 이상한 냄새나여... 못먹을 정도는 아니라 먹긴했는데 실뭉이네요... 같이 산 얇은 삼겹살은 맛있게 잘먹었는데 이건 왜 이런건지...ㅜㅜ	3월 25일에 주문했는데 일 때문에 바빠서 4월 12일에 처음 펼쳐봤는데 여기저기 찢어져있고 난리도 아니네요 시간이 많이 흘러서 저절로 구매확정이 되서 환불도 못하고 그냥 돈 기부한 셈 치려고요 ;;	5
녹이있네요.ㅡ그냥 투명 메나큐칠하고 사용하겠습니다...ㅜ	팬티끼리 같이 세탁 돌렸더니 물 빠져서 모든팬티가 검정색이 됬네요ㅎㅎ 밑부분에 순면 덧데여진 부분이 몇번 안입었는데 접착제 뜯어져서 버렸어요ㅠㅠ 착용감은 굉장히 좋은데 내구성이 너무 안좋네요ㅠㅠ	5
저염식이고 좋지만 저희아가는 안먹네요	신맛을 넘어서서 쉰맛이 나던데.... 둘 다 한모금씩 먹고 다 버렸어요.. 패키지 이뻐서 기대했는데 너무너무 기대이하	5
리뷰 보고 구매한건데 물때 곰팡이 전혀 안없어져요 물티슈에 락스묻혀 하루놔두는거 귀찮아서 산건데 실망입니다	그냥 안좋음 가격대비	5
제가 사용해봤더니, 민감성 두피에는 안좋네요~	사이즈가 작아서 교환이나 환불하려고했는데 배송비 들여서 샀는데도 왜 환불에 6000원에 배송비가 추가되는지 좀 그렇네요..물건이 10900원인데 배송비만 총 9000원드는것도 웃겨서 그냥 입습니다	5
망할 남의편 하라고 사준건데 후회하고있네요 ㅋ	각도 고정이 전혀 안됩니다 뭐 이렇게 만들어 파는지 리뷰를 제대로 꼼꼼히 보지 못한것이 후회되네요 아무리 싸게 팔아도 제대로 만들어 파셨으면 합니다	5
사용하기 너무 불편해서 다른것으로 재주문했네요	발레할때 입는 쫄 반바지임..	5
너무 딱딱해서 착용감이 안좋아요 스타킹에 자꾸 구멍이 나요	포장 주문이 누락 덌습니다.	5
두개 구매했는데 한개만 뚜껑에 스크래치, 고무패킹이 찢어져있어요ㅠ 급히 써야해서 우선 사용하는데 다음에는 검수 좀 꼼꼼히 해주세요~~~~~~~	옆에 뜯어짐.. 확인도 안하고 보내시는지?? 불편 못봤다면 아기 다쳤을듯 오늘 배송 받았는데 이벤트도 바뀌고.. 기분상함 냄새는 배송 받았을 땐 별로 안나더니 3시간 지나니까 냄새가 진해짐 며칠 걸릴듯	5
개싸구리 가격이.만큼도. 아님 끈이 비닐 천쪼가리임	품질이 아쉬워요...	5
완전싸구려에 별로에요 이상한냄새까지..	미소페가 구두를 이렇게 만들다니 아쉽네요 더욱 아쉬운 건 기성제품이 아닌 거의 10일정도의 제작기간을 거치고도 이 정도의 마감 퀄리티 밖에 안나오다니요 실망스럽네요 그냥저냥 신다 버릴게요 그런 의도로 만든 듯 하니	5
불편해요어깨찢어질거가틈왜삿나시픔	눈이 너무너무 시려요 붙일때 눈물 좔좔좔 붙이고 나서도 한참시려요 ㅠㅠ	5
배송 허벌나게 늦네요	재구매 잘못보내주셨어요... 바로필요햇던건데...부셔서 사용했네요 심지어 차액을 더주고요	5
정품이 아닌거갔습니다..텍도없고 너무 얇아요	아이폰 7 사용하는데 이번여행에서 호핑투어시 사용했다가 물들어갔네요. 노트같은 큰 핸드폰은 넣고 빼고 불편합니다	5
매실마다 크기 차이가 큽니다.	가격대비 별로네요..이렇게작을줄알았으면 집앞꽃집에서 살걸그랬어요	5
4일째 바른 후기입니다 시술후 파란 멍이 들어서 4일 동안 꾸준히 뜸뿍발랐으나, 전혀 멍이 사라지진않았어요ㅠ 후기 기다하고 샀는데 저는 불만족입니다ㅜ	배송 및 톡톡문의 상담 정말 최악이었습니다. 다신 여기서 안 사요^^	5
충전에 6시간 걸리고 제일 낮은 온도에서 최대12시간 된다더니 7시간사용가능 톡톡문의는 일씹이고 .. 교환이나 환불하고싶네요	전 이젠 샵에만 다닐려구요...	5
한쪽 창문만 고정되는식이니 무용지물같네요. 다른쪽 창문을 열어 침범하면 그만ㅋ	안부서지면 좋은상품 싼게 비지떡이네요 플라스틱이라 온지 오분만에 합체하다 부서짐 제가 무리하게 끼운탓도있지만 플라스틱이라 작은충격에바로박살나버림 걍돈더주고 강철로	5
생각햇던거보다는 ........	4/28결재 5/9수령... 중간에 연휴가 있었지만...그냥 마트가서 살껄 싶었네요.	5
조립시 정말 함들었음 두개합쳐서 13시간 걸림 하나는 바퀴부분이 나사 고정이 전혀안되어있고 제멋대로 돌아감.	완전 불편하고 안사느니만 못해여....	5
양념이 억지로매운맛을낸 김치맛이엇어요...욕심내서 2키로 주문햇는데 동생한테줘도 맛없다고...휴	싼게 비지떡 튼튼하지 않아요	5
재구매 안전하게 배송되서 재주문한건데 박스가 다 부서져서 도착했어요. 죄송하단 말한마디 없이 터지지않아서 괜찮다며 두고 가셨는데 기분이 좋지 않네요.	화이트 주문했는데 핑크가 왔어요 같이 주문한 슬리퍼도 사이즈가 잘못 왔던데 ㅎ	5
신랑이 비린내가 심하다며 먹질않네요	연결부분이 조금만 당겨도 불리됨	5
재구매 지난번에 8키로 시켰을때는 초장 하나 주더니 이번엔 아예 빼버리셨네오ㅡ	스크래치가 안 지워 지는데 괜히 3개 샀어요..	5
색상은 불만없음 사이즈 제각각임 이거사서 진공청소기로 30분 빨아보셈 ㅋㅋㅋ	상품 1234567890	5
충전케이블 없는 충전기네요 명확하게 설명되어있는데 제가 놓친건지... 초심을 잃지마시길	칼국수 면발치고는 부른듯 개고생했네요ㅜㅜ	5
한번 빨면 밑단이 쭈글해져서 잠옷으로 쓰게되네요	냄새 너무심함 재질도 그닥	5
재구매 1주일도 안되서 깨졌습니다. 내구성은 정말 꽝입니다. 지문인식이 잘되는거 같지도 않아요. 필름을 번거롭게 붙여서 뭔가 있어보이는데 좋은점이 전혀 없습니다	보호필름 스티커만 떨어질시 상단구석에 다시 붙혀서 때라고 해서 몇번이고 했는데 필름은 떨어지질 않고 강화유리만 힘주면서 꺽여버려 그냥 버리게됐습니다. 일반 필름도 힘들게 붙이시는 분들은 비추합니다.	5
정말사먹지마세요 버렸습니다 쓰레기고기를 갈아서 붙여서 만들었스버니다	잘펴지기는 하는데 플라스틱 타는냄새 같은게 나네요	5
바쁘다보면 문제가 생길수있지만 사후처리가 너무 미흡합니다.다른 고객에게는 약속한만큼의 답변은 꼭 주시길 기대합니다.	인기 상품이라 기대를 많이 했는데 맛이 없어요.	5
뚜껑따는 부분이 두꺼워서 잘 안들어감니다.	너무 커요 들고 나가기 부담스럽지요	5
배송이 너무 느리고 시간이 안맞아서 제가 조립했습니다.	이거는 그냥 녹이면 그러려니하겠는데 무슨 음식물 말라붙은게있어요? 누가 쓰던거면 적어도 모르게 닦아서 보내던가 하지.. 반품신청했으니까 가져가시고 환불해주세요..	5
실용성이 떨어지네요. 크기도 너무 작고 소재도 뻣뻣해서.. 실제로 보고는 안샀을듯 합니다.	덴탈마스크도 아닌거 덴탈이라고 낚아놓고 반품요청하니 배송시작하고 문의남긴거엔 답변도 없고 이렇게 소비자랑 불통인 판매자 처음봅니다 마스크가 도착해서 스트레스받고 시간만 질질끌기 귀찮아 그냥씁니다 장사 이렇게 하지 마세요	5
발랐을때 눈이따갑고 뭐가묻어나요~~~~ㅠ	마감이 덜 되서 실이 바로 터지네요	5
아니나 다를까 끊어젔어요 이것도 선물해준건데 휴~~걍 접착제로 붙혔더라구요 맘상해요 다시는 안살래요	흰색인데 잘 보이는 부분에 오염이 있어서 당황했네요...교환하려다 귀찮아서 비누로 한번빨았는데 누렇게 얼룩이 남았어요 흰색은 검수 좀 잘해주셨으면 합니다	5
